#time, arduino2, arduino1
#Arduino 2 is connected to usb of tower and has only voltage pins connected, arduino1 is connected to the usb of monitor and has complete connections
297.59154057502747 663 808
297.6071619987488 618 800
297.622789144516 665 815
297.6384525299072 653 800
297.65434980392456 755 788
297.6699230670929 778 758
297.68552350997925 788 723
297.70088934898376 668 600
297.716516494751 673 660
297.7323839664459 568 760
297.7480216026306 730 803
297.7637028694153 665 683
297.77902579307556 738 768
297.79461765289307 798 680
297.8102388381958 675 733
297.8259859085083 713 650
297.841694355011 640 650
297.8571033477783 738 778
297.87272930145264 583 738
297.8883681297302 810 783
297.90396666526794 643 800
297.919593334198 705 665
297.93545484542847 763 678
297.95086550712585 635 693
297.9667091369629 725 795
297.98210310935974 790 748
297.99769496917725 665 810
298.0133156776428 640 663
298.0289669036865 783 705
298.04458951950073 600 635
298.06038331985474 655 788
298.0825614929199 640 793
298.09818291664124 645 748
298.1142065525055 668 628
298.14129090309143 768 670
298.1569170951843 653 835
298.1726233959198 673 683
298.1882450580597 738 605
298.20354437828064 683 710
298.2191712856293 728 815
298.23500299453735 790 670
298.25069093704224 670 663
298.26635003089905 718 680
298.2818810939789 770 800
298.29727244377136 715 648
298.3128945827484 693 793
298.3285644054413 668 815
298.34446239471436 755 685
298.3600890636444 635 818
298.3757002353668 750 695
298.3912799358368 570 785
298.4066231250763 755 690
298.42224884033203 713 778
298.4381859302521 745 698
298.45376420021057 715 750
298.46936416625977 703 665
298.48472905158997 623 625
298.5003502368927 753 778
298.515971660614 678 843
298.5318670272827 613 773
298.54753828048706 653 770
298.56316208839417 665 738
298.57877826690674 680 813
298.5944039821625 650 668
298.60969972610474 753 700
298.6253271102905 715 690
298.6409468650818 658 793
298.6568863391876 593 713
298.67250418663025 770 715
298.68812584877014 663 713
298.70342779159546 728 688
298.71827030181885 673 603
298.7332615852356 803 675
298.7499556541443 800 825
298.7655646800995 653 735
298.7811863422394 625 830
298.79680585861206 695 615
298.81243085861206 658 700
298.82805824279785 760 840
298.8438045978546 740 770
298.859423160553 700 640
298.8749144077301 578 655
298.8907992839813 733 638
298.9103510379791 710 605
298.925977230072 610 713
298.9417324066162 780 790
298.9575364589691 780 760
298.9728653430939 725 655
298.9882001876831 778 688
299.00609254837036 670 693
299.02171421051025 585 693
299.0373857021332 773 778
299.05320954322815 670 675
299.06857800483704 663 663
299.0844712257385 623 690
