#Year;Month;Day;Hour;Min;Sec;mSec;dirX;dirY;dirZ;orgX;orgY;orgZ;targX;targY;targZ;target;                dataValid;calibValid;lowContiguity;scene;exercise;subExercise;
2021;7;7;16;24;37;188;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;198;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;198;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;198;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9998869895935059;10009;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;198;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9998869895935059;10009;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;208;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9998869895935059;10009;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;217;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9997524619102478;10009;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;217;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9997524619102478;10009;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;219;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9997524619102478;10009;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;219;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9997524619102478;10009;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;228;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9997524619102478;10009;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;228;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9899929165840149;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;228;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9899929165840149;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;238;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9899929165840149;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;238;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9899929165840149;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;249;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9899929165840149;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;249;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9899929165840149;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;249;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9899929165840149;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;249;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9856295585632324;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;258;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9856295585632324;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;263;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9856295585632324;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;263;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9856295585632324;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;269;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9856295585632324;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;269;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9856295585632324;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;279;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9856295585632324;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;279;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9838863015174866;10001;False;False;False;-1;-1;-1;
